datetime,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20
2022-01-01 01:00:00,29.7,14.6,54.7,40.1,3.0,49.7,10.9,1.1,5.0,1.338,5.6,2.914,1.7,3.2,1.3,3.5,6.8,2.902,1.806,1.4
2022-01-01 02:00:00,21.9,9.0,38.0,27.7,2.4,30.2,6.4,0.4,2.6,0.874,3.6,1.108,1.3,2.2,0.8,2.3,4.5,2.269,0.677,0.8
2022-01-01 03:00:00,16.9,4.5,28.9,22.9,1.3,19.7,3.8,0.5,1.4,0.598,1.7,0.772,0.6,1.5,0.6,1.1,2.4,1.055,0.568,0.5
2022-01-01 04:00:00,14.3,3.2,25.5,20.0,1.5,15.4,2.7,0.4,1.2,0.265,1.1,0.414,0.2,1.2,0.7,0.8,1.8,0.677,0.284,0.2
2022-01-01 05:00:00,14.9,3.5,26.4,20.6,1.2,17.5,2.2,0.5,1.2,0.416,0.9,0.279,0.8,1.1,0.4,0.9,1.9,0.891,0.483,0.3
2022-01-01 06:00:00,22.3,6.2,31.4,27.5,2.0,29.7,3.8,0.7,2.5,0.866,1.5,1.06,0.9,0.9,0.9,1.6,3.4,1.572,0.811,1.3
2022-01-01 07:00:00,36.5,15.2,57.2,50.0,6.1,71.1,12.7,2.2,6.4,2.299,4.8,2.71,1.5,2.0,1.9,3.9,6.8,5.232,2.12,2.8
2022-01-01 08:00:00,51.0,27.0,84.6,71.2,8.5,96.7,23.8,3.6,11.4,4.237,7.7,4.132,3.0,4.1,4.2,5.3,12.4,9.344,4.84,3.0
2022-01-01 09:00:00,61.0,30.4,103.2,78.7,10.0,125.2,27.7,3.5,13.6,5.562,10.1,5.402,3.2,4.8,4.1,8.0,16.0,10.344,5.944,4.2
2022-01-01 10:00:00,59.1,28.2,96.4,68.1,9.3,121.8,27.7,3.9,11.7,5.016,9.0,5.388,3.3,3.9,3.2,8.1,13.9,10.128,4.74,4.5
2022-01-01 11:00:00,54.5,26.0,93.3,58.6,8.9,114.3,24.2,4.1,10.6,4.377,8.7,5.194,2.8,4.8,3.1,7.8,12.8,9.584,5.338,3.8
2022-01-01 12:00:00,49.3,22.3,81.8,49.3,7.5,98.6,18.8,3.0,7.9,4.223,7.9,5.832,3.2,4.4,2.5,6.6,12.0,7.752,4.394,3.5
2022-01-01 13:00:00,46.8,19.0,74.9,46.7,5.6,86.4,15.6,1.8,7.5,3.267,6.8,3.892,3.3,3.5,3.0,5.7,10.3,7.224,3.364,2.8
2022-01-01 14:00:00,37.6,15.4,64.0,27.1,4.1,68.4,12.2,2.0,6.2,2.514,4.3,2.6,2.1,2.4,2.0,4.7,7.4,5.176,2.76,2.2
