jzrq,zz,wz,glzl,yxgc,xzqz,xzcy,xzsw,train or test
2020-01-19,,1,,,,,,train
2020-01-20,4,,,,8.0,0.0,0.0,train
2020-01-21,,,,,5.0,0.0,0.0,train
2020-01-22,,,,,1.0,0.0,0.0,train
2020-01-23,8,2,,,0.0,2.0,0.0,train
2020-01-24,7,3,,,5.0,0.0,0.0,train
2020-01-25,9,3,,,7.0,0.0,0.0,train
2020-01-26,,,,,9.0,0.0,0.0,train
2020-01-27,,,,,13.0,2.0,0.0,train
2020-01-28,,,,,8.0,0.0,0.0,train
2020-01-29,,,,,23.0,0.0,0.0,train
2020-01-30,16,8,94,325,18.0,0.0,0.0,train
2020-01-31,12,8,130,327,36.0,0.0,0.0,train
2020-02-01,12,9,165,327,36.0,1.0,0.0,train
2020-02-02,24,8,202,670,37.0,0.0,0.0,train
2020-02-03,24,5,235,670,38.0,5.0,0.0,train
2020-02-04,23,10,258,851,26.0,3.0,0.0,train
2020-02-05,32,12,275,878,20.0,3.0,0.0,train
2020-02-06,32,12,295,947,25.0,5.0,0.0,train
2020-02-07,28,13,308,958,23.0,10.0,0.0,train
2020-02-08,29,13,315,1045,15.0,8.0,0.0,train
2020-02-09,35,12,320,1153,12.0,7.0,0.0,train
2020-02-10,35,12,313,1104,3.0,10.0,0.0,train
2020-02-11,30,12,320,850,17.0,10.0,0.0,train
2020-02-12,29,12,310,665,5.0,15.0,0.0,train
2020-02-13,28,11,306,554,9.0,13.0,0.0,train
2020-02-14,29,9,302,522,6.0,10.0,0.0,train
2020-02-15,29,9,299,541,8.0,11.0,0.0,train
2020-02-16,26,8,282,436,1.0,16.0,2.0,train
2020-02-17,22,7,262,359,1.0,21.0,0.0,train
2020-02-18,15,9,251,307,0.0,11.0,0.0,train
2020-02-19,10,10,232,287,0.0,19.0,0.0,train
2020-02-20,10,9,215,232,0.0,17.0,0.0,train
2020-02-21,10,9,193,202,1.0,23.0,0.0,train
2020-02-22,7,8,188,175,0.0,4.0,1.0,train
2020-02-23,5,8,177,159,0.0,11.0,0.0,train
2020-02-24,7,6,165,132,0.0,12.0,0.0,train
2020-02-25,5,6,152,104,0.0,13.0,0.0,train
2020-02-26,4,4,143,96,0.0,9.0,0.0,train
2020-02-27,3,4,133,79,0.0,10.0,0.0,train
2020-02-28,5,2,115,73,0.0,18.0,0.0,train
2020-02-29,5,2,106,61,0.0,9.0,0.0,train
2020-03-01,6,2,95,103,1.0,12.0,0.0,train
2020-03-02,6,2,83,102,0.0,12.0,0.0,train
2020-03-03,5,3,74,102,0.0,9.0,0.0,train
2020-03-04,5,3,65,101,0.0,9.0,0.0,train
2020-03-05,4,3,57,97,0.0,8.0,0.0,train
2020-03-06,4,3,55,97,1.0,3.0,0.0,train
2020-03-07,4,3,48,133,0.0,7.0,0.0,train
2020-03-08,4,3,43,145,0.0,5.0,0.0,train
2020-03-09,2,3,35,153,0.0,8.0,0.0,train
2020-03-10,2,3,29,157,0.0,6.0,0.0,train
2020-03-11,2,3,25,160,1.0,5.0,0.0,train
2020-03-12,2,3,22,160,0.0,3.0,0.0,train
2020-03-13,2,3,21,170,0.0,1.0,0.0,train
2020-03-14,1,3,19,117,1.0,3.0,0.0,train
2020-03-15,1,2,19,124,2.0,2.0,0.0,train
2020-03-16,1,2,18,130,0.0,1.0,0.0,train
2020-03-17,1,1,19,120,2.0,1.0,0.0,train
2020-03-18,1,1,17,147,2.0,4.0,0.0,train
2020-03-19,1,1,20,162,5.0,2.0,0.0,train
2020-03-20,1,,23,178,4.0,1.0,0.0,train
2020-03-21,1,,25,190,3.0,1.0,0.0,train
2020-03-22,1,,23,208,0.0,2.0,0.0,train
2020-03-23,,,23,234,1.0,1.0,0.0,train
2020-03-24,,,24,243,1.0,0.0,0.0,train
2020-03-25,,,25,293,2.0,1.0,0.0,train
2020-03-26,,,25,370,1.0,1.0,0.0,train
2020-03-27,,,27,391,2.0,0.0,0.0,train
2020-03-28,,,28,393,1.0,0.0,0.0,train
2020-03-29,,,30,385,2.0,0.0,0.0,train
2020-03-30,,,31,395,1.0,0.0,0.0,train
2020-03-31,,,31,411,1.0,1.0,0.0,train
2020-04-01,,,29,429,0.0,2.0,0.0,train
2020-04-02,,,30,468,1.0,0.0,0.0,train
2020-04-03,,,31,473,1.0,0.0,0.0,train
2020-04-04,,,32,445,1.0,0.0,0.0,train
2020-04-05,,,32,399,1.0,1.0,0.0,train
2020-04-06,,,32,412,0.0,0.0,0.0,train
2020-04-07,,,32,305,1.0,1.0,0.0,train
2020-04-08,,,31,299,0.0,1.0,0.0,train
2020-04-09,,,30,249,0.0,1.0,0.0,train
2020-04-10,,,30,234,0.0,0.0,0.0,train
2020-04-11,,,30,229,0.0,0.0,0.0,train
2020-04-12,,,30,219,0.0,0.0,0.0,train
2020-04-13,,,31,203,2.0,1.0,0.0,train
2020-04-14,,,28,191,0.0,3.0,0.0,train
2020-04-15,,,26,185,0.0,2.0,0.0,train
2020-04-16,,,27,194,1.0,0.0,0.0,train
2020-04-17,,,28,193,1.0,0.0,0.0,train
2020-04-18,,,27,182,1.0,2.0,0.0,train
2020-04-19,,,26,219,0.0,1.0,0.0,train
2020-04-20,,,25,244,0.0,1.0,0.0,train
2020-04-21,,,19,205,0.0,6.0,0.0,train
2020-04-22,,,18,221,0.0,1.0,0.0,train
2020-04-23,,,13,213,0.0,5.0,0.0,train
2020-04-24,,,12,206,0.0,1.0,0.0,train
2020-04-25,,,12,196,0.0,0.0,0.0,train
2020-04-26,,,12,162,0.0,0.0,0.0,train
2020-04-27,,,11,155,0.0,1.0,0.0,train
2020-04-28,,,8,156,1.0,4.0,0.0,train
2020-04-29,,,5,159,0.0,3.0,0.0,train
