time,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20,train or test
2022/1/1 1:00,29.7,14.6,54.7,40.1,3,49.7,10.9,1.1,5,1.338,5.6,2.914,1.7,3.2,1.3,3.5,6.8,2.902,1.806,1.4,train
2022/1/1 2:00,21.9,9,38,27.7,2.4,30.2,6.4,0.4,2.6,0.874,3.6,1.108,1.3,2.2,0.8,2.3,4.5,2.269,3.847,0.8,train
2022/1/1 3:00,16.9,4.5,28.9,22.9,1.3,19.7,3.8,0.5,1.4,0.598,1.7,0.772,0.6,1.5,0.6,1.1,2.4,1.055,,0.5,train
2022/1/1 4:00,14.3,3.2,25.5,20,1.5,15.4,2.7,0.4,1.2,0.265,1.1,0.414,0.2,1.2,0.7,0.8,1.8,0.677,,0.2,train
2022/1/1 5:00,14.9,3.5,26.4,20.6,1.2,17.5,2.2,0.5,1.2,0.416,0.9,0.279,0.8,1.1,0.4,0.9,1.9,0.891,,0.3,train
2022/1/1 6:00,22.3,6.2,31.4,27.5,2,29.7,3.8,0.7,2.5,0.866,1.5,1.06,0.9,0.9,0.9,1.6,3.4,1.572,,1.3,train
2022/1/1 7:00,36.5,15.2,57.2,50,6.1,71.1,12.7,2.2,6.4,2.299,4.8,2.71,1.5,2,1.9,3.9,6.8,5.232,2.806,2.8,train
2022/1/1 8:00,51,27,84.6,71.2,8.5,96.7,23.8,3.6,11.4,4.237,7.7,4.132,3,4.1,4.2,5.3,12.4,9.344,4.84,3,train
2022/1/1 9:00,61,30.4,103.2,78.7,10,125.2,27.7,3.5,13.6,5.562,10.1,5.402,3.2,4.8,4.1,8,16,10.344,5.944,4.2,train
2022/1/1 10:00,59.1,28.2,96.4,68.1,9.3,121.8,27.7,3.9,11.7,5.016,9,5.388,3.3,3.9,3.2,8.1,13.9,10.128,4.74,4.5,train
2022/1/1 11:00,54.5,26,93.3,58.6,8.9,114.3,24.2,4.1,10.6,4.377,8.7,5.194,2.8,4.8,3.1,7.8,12.8,9.584,5.338,3.8,train
2022/1/1 12:00,49.3,22.3,81.8,49.3,7.5,98.6,18.8,3,7.9,4.223,7.9,5.832,3.2,4.4,2.5,6.6,12,7.752,4.394,3.5,train
2022/1/1 13:00,46.8,19,74.9,46.7,5.6,86.4,15.6,1.8,7.5,3.267,6.8,3.892,3.3,3.5,3,5.7,10.3,7.224,3.364,2.8,train
2022/1/1 14:00,37.6,15.4,64,27.1,4.1,68.4,12.2,2,6.2,2.514,4.3,2.6,2.1,2.4,2,4.7,7.4,5.176,2.76,2.2,train
2022/1/1 15:00,35.2,13.8,62.8,31.3,4.6,63.4,10.7,2,4.9,1.95,3.8,1.942,2.3,2.6,2,4.6,7,5.472,2.372,2.2,train
2022/1/1 16:00,36.1,14.6,64.5,33.1,4.1,66.5,11.2,1.7,5.7,2.084,3.9,2.442,2.1,2.5,2.5,4.5,7.5,5.732,2.626,2,train
2022/1/1 17:00,43.4,17.7,76.9,52,5.2,82.7,15.5,2.6,8.3,2.724,6,3.268,2.4,2.6,3,6.3,8.9,6.428,2.69,2.7,train
2022/1/1 18:00,46.1,22,78,60.1,6.3,90.9,18.4,2.9,8.2,3.049,7.5,3.504,3.4,3.6,3,6.4,10.5,7.024,3.196,3.4,train
2022/1/1 19:00,48.5,23.5,79.5,62.4,5.7,97.4,19.9,3.1,9.3,3.353,7.9,3.52,2.6,3.9,2.9,6.9,11.3,8.608,3.828,3,train
2022/1/1 20:00,59.6,30.4,93,55.4,7.1,116.1,23.4,3.8,9.9,3.793,8.7,5.152,3.6,5.6,3.5,8.5,12.4,10.212,4.202,3.5,train
2022/1/1 21:00,71.5,39.1,116.6,80.2,10.6,154.6,33.4,4.8,13.8,5.3,11.6,6.488,4.3,6.1,4.5,10.4,17.4,14.048,5.594,4,train
2022/1/1 22:00,71.6,45.4,126,81,12,163.4,35.8,4.6,16,7.07,15,8.412,5.4,8.1,4.7,9.7,18.9,14.564,7.244,4.8,train
2022/1/1 23:00,64,37.9,106.5,96.1,7.7,127,26.6,3.8,12.7,6.12,13.5,7.364,4.9,6.6,4.2,8.7,16,11.072,4.72,3.5,train
2022/1/2 0:00,38.9,21.1,71,56.6,4.4,71.3,16,1.8,6.9,3.187,8.8,3.908,3.2,2.7,2.3,5.8,9.5,6.384,2.492,2.7,train
2022/1/2 1:00,25.4,9.3,41.9,25.8,3.1,37.5,6.5,0.8,2.6,1.514,3.4,1.224,1.4,1.2,1.2,3,5,2.902,1.362,1.1,train
2022/1/2 2:00,16.3,4.4,31.7,16.6,2,24.1,3,0.4,1.3,0.912,1.6,0.832,1.3,0.4,0.6,1.8,2.9,2.269,0.677,0.9,train
2022/1/2 3:00,12.2,3.8,26.7,14.3,1.6,18.7,2.7,0.4,1.3,0.185,1.9,0.525,0.3,0.3,0.7,1.2,2.3,1.055,0.568,0.5,train
2022/1/2 4:00,12.4,3.5,25.6,13.1,1.2,16,2,0.2,1.2,0.354,0.9,0.215,0.3,0.2,0.6,0.7,1.4,0.677,0.284,0.2,train
2022/1/2 5:00,16.1,3.5,26.7,13.9,1.5,17.7,1.9,0.5,1,0.151,1,0.223,0.2,0.2,0.8,0.9,1.7,0.891,0.483,0.1,train
